model_name,model_rank_lmsys (March 12th),model_license,publication_date,publication_org,publication_type,publication_url,publication_notes,RealToxicity,BOLD,CrowS-Pairs,BBQ,Winogender,TruthfulQA,Toxigen,AnthropicRedTeam,HolisticBias,DiscrimEval,XSTest,DoNotAnswer,"PROPRIETARY
DATA",SAFETY EVAL?,dataset_notes
"GPT-4
[1106-preview, 0125-preview, 0314, 0613]","1, 2, 5, 7",proprietary,03/2023,OpenAI,industry,https://cdn.openai.com/papers/gpt-4-system-card.pdf,,1,0,0,0,0,1,0,0,0,0,0,0,1,1,"Collected data for RLHF from annotators. Also relied on OpenAI's models themselves to steer models towards a safer behavior (Moderation API). For instance, used data from ChatGPT to finetune against hallucinations.
Enriched training dataset with a mix of real user prompts, synthetic prompts, and prompts from internal/public datasets. (see page 22).
Also adopts an automatic approach based on GPT-4 itself to reduce hallucinations, by passing [prompt] + [GPT4-response] + [any GPT4-hallucinations] to GPT-4 itself, asking to rewrite the response without hallucinations."
"Claude-3
[Opus, Sonnet]","3, 6",proprietary,03/2024,Anthropic,industry,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,,0,0,0,1,0,0,0,0,0,1,1,0,1,1,"Uses internal classifiers to detect violations of Anthropic's Acceptable Use Policy. In case of AUP violation, the model is instructed to respond with even more caution.
Doesn't seem to specify the origin of the data of the ""Trust and Safety multimodal red-teaming evaluation"" (probably using AnthropicRedTeam, as named in the original SafetyPrompts sheet). The origin of the images used for red-teaming (see figures) does not seem to be specified.
Uses the WildChat dataset, which is partially made public (only the non-toxic part)."
"Gemini 1.0
[Ultra, Pro, Nano]","4, 14, 18",proprietary,12/2023,Google,industry,https://arxiv.org/abs/2312.11805,Relatively little focus on safety evaluation,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Defines 20 harm types, from which creates a dataset of harmful queries generated by experts or through language model prompts with keywords. Also, creates additional supervised fine-tuning (SFT) data with desirable responses based on Google's content policy language.
Similarly, to handle Factuality, Attribution and Hedging, generates a dataset for SFT mainly via human annotators."
"Mistral Large
[2402]",8,proprietary,02/2024,Mistral,industry,https://mistral.ai/news/mistral-large/,Blog post only,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Brief documentation
Mistral Medium,9,proprietary,12/2023,Mistral,industry,https://mistral.ai/news/la-plateforme/,Blog post only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brief documentation
"Qwen
[1.5-72B-Chat]","10, 41, 49",open,09/2023,Alibaba Group,industry,https://arxiv.org/abs/2309.16609,Relatively little focus on safety evaluation,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Model was fine-tuned on chat-style proprietray data (i.e., annotation performed by the authors). They state: ""we have prioritized the safety of the language model by annotating data related to safety concerns such as violence, bias, and pornography."""
"Claude 1
[1, Instant-1]","11, 12",proprietary,03/2023,Anthropic,industry,https://www.anthropic.com/news/introducing-claude,"Blog post only, but later evaluated with Claude 2.0 release",0,0,0,1,0,1,0,1,0,0,0,0,1,1,Later evaluated with Claude 2.0 release
Claude 2.0,19,proprietary,07/2023,Anthropic,industry,https://www-cdn.anthropic.com/5c49cc247484cecf107c699baf29250302e5da70/claude-2-model-card.pdf,,0,0,0,1,0,1,0,1,0,0,0,0,1,1,"Collected data for tasks requiring helpfulness, honesty and harmlessness via crowdworkers (in the form of 438 binary choices).
Models are given a Consitution, i.e. ""a set of ethical and behavioral principles that the model uses
to guide its outputs.""
For internal evaluations, uses a set of 328 prompts taken from AntrhopicRedTeam and ""various AI model ‘jailbreaks’ that have been discussed online"" [No reference to these]"
Mistral-Next,13,proprietary,02/2024,Mistral,industry,not available,No official resource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brief documentation
Claude-2.1,15,proprietary,11/2023,Anthropic,industry,https://www.anthropic.com/news/claude-2-1,* Technical report is included in the Appendix of the Model Card and Evaluations for Claude Models,0,0,0,1,0,1,0,1,0,0,0,0,1,1,"Builds on top of Claude2 (""Claude 2.1 [is] a new release which builds additional product features and functionality on top of Claude 2.0. Since Claude 2.1 is not a new base model, we are providing an appendix rather than a completely new model card""). Claude 2.1 has a longer context window (from 100K to 200K tokens). To improve the model in factual accuracy, a set of complex set of factual questions is used (this was apparently not used in Claude2).
This is why all the selected datasets (marked with a ""1"") are the same as the ones marked for Claude2."
Mixtral-8x7b-Instruct-v0.1,16,open,212/023,Mistral,industry,https://mistral.ai/news/mixtral-of-experts/,Blog post only,0,1,0,1,0,0,0,0,0,0,0,0,0,1,
